Step,No.Susceptible,No.infectious,No.Recovered
36904,1998,2,0
36918,1993,7,0
36932,1973,27,0
36946,1901,99,0
36960,1741,259,2
36974,1629,370,3
36988,1626,390,5
37002,1621,395,5
37016,1732,395,5
37030,1728,399,5
37044,1819,399,5
37058,1813,404,6
37072,1884,403,7
37086,1882,402,10
37100,1882,402,10
37114,1990,398,14
37128,1987,398,17
37142,2070,398,18
37156,2066,402,18
37170,2148,402,19
37184,2146,403,20
37198,2146,403,20
37212,2146,401,22
37226,2146,398,25
37240,2146,398,25
37254,2146,396,27
37268,2197,394,29
37282,2197,391,32
37296,2197,390,33
37310,2197,387,36
37324,2197,385,38
37338,2197,384,39
37352,2197,384,39
37366,2197,384,39
37380,2286,384,39
37394,2283,386,40
37408,2397,384,42
37422,2393,388,42
37436,2393,386,44
37450,2478,384,46
37464,2478,384,46
37478,2564,383,48
37492,2558,387,50
37506,2646,386,52
37520,2643,388,53
37534,2733,390,53
37548,2728,395,53
37562,2727,396,53
37576,2727,393,56
37590,2762,390,59
37604,2762,386,63
37618,2762,385,64
37632,2792,383,66
37646,2792,381,68
37660,2792,381,68
37674,2792,377,72
37688,2792,374,75
37702,2792,373,76
37716,2818,371,78
37730,2818,371,78
37744,2888,369,80
37758,2881,375,81
37772,2964,374,82
37786,2963,375,82
37800,2963,375,82
37814,3034,374,83
37828,3026,381,84
37842,3119,380,86
37856,3113,383,89
37870,3188,382,91
37884,3180,387,94
37898,3254,385,96
37912,3251,387,97
37926,3251,385,99
37940,3251,385,99
37954,3251,384,100
37968,3271,382,102
37982,3271,379,105
37996,3271,378,106
38010,3271,378,106
38024,3271,375,109
38038,3271,375,109
38052,3271,371,113
38066,3271,371,113
38080,3271,369,115
38094,3271,367,117
38108,3358,365,119
38122,3352,370,120
38136,3351,368,123
38150,3458,368,123
38164,3451,372,126
38178,3535,371,127
38192,3528,378,127
38206,3616,378,128
38220,3616,378,128
38234,3722,376,130
38248,3714,382,132
38262,3796,381,134
38276,3791,385,135
38290,3791,383,137
38304,3791,380,140
38318,3791,378,142
38332,3791,374,146
38346,3791,374,146
38360,2191,101,19
38374,2191,100,20
38388,2191,98,22
38402,2191,98,22
38416,2217,98,22
38430,2217,98,22
38444,2217,98,22
38458,2175,139,23
38472,2229,163,24
38486,2217,174,25
38500,2214,177,25
38514,2369,178,25
38528,2248,299,25
38542,2317,349,26
38556,2307,359,26
38570,2392,358,28
38584,2384,365,29
38598,2463,362,33
38612,2457,366,35
38626,2564,366,37
38640,2546,383,38
38654,2545,383,39
38668,2545,382,40
38682,2545,380,42
38696,2545,379,43
38710,2545,378,44
38724,2545,375,47
38738,2545,373,49
38752,2545,372,50
38766,2545,371,51
38780,2545,369,53
38794,2545,368,54
